n_messages,runs,mean_rate_percent,std_rate_percent,ci95_low_percent,ci95_high_percent,mean_original_size_bytes,mean_compressed_size_bytes,std_compressed_size_bytes,prob_fit_222_bytes
1,100,5.718931,0.648269,5.591870,5.845992,17.720000,16.720000,2.094148,1.000000
2,100,16.618791,4.325895,15.770916,17.466667,35.020000,29.180000,2.516130,1.000000
3,100,21.885501,4.021098,21.097366,22.673636,52.310000,40.860000,3.321251,1.000000
4,100,26.494302,3.814275,25.746705,27.241900,69.940000,51.390000,3.615050,1.000000
5,100,30.947207,2.726705,30.412773,31.481641,86.830000,59.920000,2.859258,1.000000
6,100,34.342414,2.577412,33.837241,34.847586,103.510000,67.960000,3.754916,1.000000
7,100,36.995991,2.190577,36.566638,37.425344,121.200000,76.370000,4.130828,1.000000
8,100,39.463587,1.995356,39.072497,39.854676,137.390000,83.150000,3.624761,1.000000
9,100,41.356094,1.825341,40.998327,41.713861,155.520000,91.200000,4.362374,1.000000
10,100,43.551112,1.321049,43.292186,43.810038,173.760000,98.080000,3.943234,1.000000
11,100,45.162958,1.415433,44.885533,45.440383,191.230000,104.830000,3.396537,1.000000
12,100,46.761969,1.285397,46.510031,47.013907,207.670000,110.550000,3.980698,1.000000
13,100,48.301813,1.349565,48.037299,48.566328,225.780000,116.690000,3.873492,1.000000
14,100,49.444176,1.072897,49.233888,49.654463,242.780000,122.720000,3.417365,1.000000
15,100,50.805027,0.983166,50.612326,50.997728,260.020000,127.890000,3.495726,1.000000
16,100,51.944983,1.201846,51.709421,52.180544,278.270000,133.680000,3.770915,1.000000
17,100,52.719357,0.858964,52.551000,52.887714,294.160000,139.070000,3.668746,1.000000
18,100,53.806496,0.950244,53.620248,53.992743,312.160000,144.170000,3.263062,1.000000
19,100,54.632737,0.787400,54.478406,54.787067,329.670000,149.540000,3.217440,1.000000
20,100,55.585712,0.966271,55.396323,55.775101,347.050000,154.110000,3.923241,1.000000
21,100,56.310748,0.821433,56.149748,56.471749,363.220000,158.660000,3.095190,1.000000
22,100,57.173099,0.782877,57.019656,57.326543,381.210000,163.230000,3.595325,1.000000
23,100,57.741819,0.765048,57.591869,57.891768,397.910000,168.110000,2.994591,1.000000
